ADCY1	0.00349105841290636
ADCY2	0.00228106167054623
ADCY3	0.00308540392676057
ADCY4	0.00227282708559236
ADCY5	0.00393478689285845
ADCY6	0.00170794632143185
ADCY7	0.00227282708559203
ADCY8	0.00228426129528477
ADCY9	0.00234033914259147
ATF2	0.000750912819376297
ATF4	0.00147186884039644
ATF6B	0.000698312315669323
CREB1	0.00105959576355817
CREB3	0.000903269614667818
CREB3L1	0.000903269614667759
CREB3L2	0.000903269614667759
CREB3L3	0.000903269614667759
CREB3L4	0.000903269614667759
CREB5	0.000889383104656171
EDNRB	0.000121406033012405
FOS	0.00284620181126166
JUN	0.00426296012320447
NFKBIA	0.00226785235291598
NOS3	0.000809566785356508
RXFP1	0.000164649533154915
RXFP2	0.000178128066366633
RXFP4	0.000155663844347102
SMAD2	0.00137824965575715
