CD74	0.000221525963275782
CREB1	0.00105959576355817
KIR2DL1	9.85950065574414e-05
KIR2DL2	9.85950065574414e-05
KIR2DL3	9.85950065574414e-05
KIR2DL4	9.85950065574414e-05
KIR2DL5A	9.85950065574414e-05
KIR2DS1	9.85950065574414e-05
KIR2DS2	9.85950065574414e-05
KIR2DS3	9.85950065574414e-05
KIR2DS4	9.85950065574414e-05
KIR2DS5	9.85950065574414e-05
KIR3DL1	9.93511655034004e-05
KIR3DL2	0.000105477771508727
KIR3DL3	9.64210495878094e-05
KLRC1	9.91167562301531e-05
KLRC2	9.91167562301531e-05
KLRC3	9.91167562301531e-05
KLRC4	9.64210495878094e-05
KLRD1	9.91167562301531e-05
NFYA	0.000234880012021715
NFYB	0.000194444412386559
NFYC	0.000194444412386559
PSME1	9.06432753822973e-05
PSME2	9.06432753822973e-05
PSME3	9.06432753822612e-05
RFX5	0.000194444412386559
RFXANK	0.000194444412386559
RFXAP	0.000194444412386559
