ACVR1	4028.59588853652	1.60799288238031e-07	33
ACVR1B	39.3056954626229	1.60695102736397e-07	11
ACVR1C	25.4317424432974	1.60695102736397e-07	9
ACVR2A	5022.80525391023	1.60774702550723e-07	30
ACVR2B	6963.23916170292	1.60774702550723e-07	31
AKT1	240651.218592494	1.60745499045654e-07	588
AKT2	240651.218592494	1.60745499045654e-07	588
AKT3	240651.218592494	1.60745499045654e-07	588
APC	5600.98705557166	1.60678500316858e-07	19
APC2	5600.98705557166	1.60678500316858e-07	19
AXIN1	6.92188514232456	1.606694130425e-07	14
AXIN2	6.92188514232456	1.606694130425e-07	14
BMP4	1953.21071311332	1.61131192533567e-07	29
BMPR1A	20661.1258162122	1.60703185715672e-07	50
BMPR1B	22449.6093594988	1.60703263192251e-07	54
BMPR2	38854.7679957552	1.60703263192251e-07	63
CTNNB1	76290.6829469396	1.60690428924534e-07	149
DUSP9	0	1.60792824395101e-07	11
DVL1	20125.8840221924	1.6065635188625e-07	140
DVL2	20125.8840221924	1.6065635188625e-07	140
DVL3	20125.8840221924	1.6065635188625e-07	140
FGF2	318.185520837683	1.60883753765484e-07	115
FGFR1	6465.76493428654	1.607094357331e-07	340
FGFR2	2031.62862037406	1.6070930659559e-07	306
FGFR3	12343.7547369813	1.6070930659559e-07	291
FGFR4	692.31958332627	1.60697736717006e-07	257
FZD1	5164.59014238717	1.60698718025977e-07	309
FZD10	5164.59014238717	1.60698718025977e-07	309
FZD2	5164.59014238717	1.60698718025977e-07	309
FZD3	30757.2028285039	1.60707937750745e-07	319
FZD4	5164.59014238717	1.60698718025977e-07	309
FZD5	5164.59014238717	1.60698718025977e-07	309
FZD6	5164.59014238717	1.60698718025977e-07	309
FZD7	5164.59014238717	1.60698718025977e-07	309
FZD8	5164.59014238717	1.60698718025977e-07	309
FZD9	5164.59014238717	1.60698718025977e-07	309
GRB2	17240.2624605512	1.60700861453038e-07	246
GSK3B	107045.60403443	1.60698847146471e-07	211
HRAS	113993.82934381	1.60728085368472e-07	527
IGF1	2037	1.60979813292393e-07	133
IGF1R	42600.6390804316	1.60731211284874e-07	417
IL6ST	5105.18559782058	1.60690971176057e-07	107
INHBA	154.110904900897	1.61208080458308e-07	11
INHBB	1578.66728529731	1.61324903354284e-07	14
INHBC	154.110904900897	1.61208080458308e-07	11
INHBE	154.110904900897	1.61208080458308e-07	11
JAK1	23786.4277951055	1.60692520486288e-07	179
JAK2	63786.8959822077	1.60701248825475e-07	215
JAK3	14526.5624986184	1.6069241719801e-07	149
KRAS	125209.183774663	1.60728085368472e-07	552
LIF	0	1.60775788195263e-07	49
LIFR	2206.89486891394	1.60688389058728e-07	72
MAP2K1	13767.9332363926	1.60697065301984e-07	333
MAP2K2	9664.17246446593	1.60697039478442e-07	290
MAPK1	241842.648840716	1.60735138228201e-07	569
MAPK11	94702.4173586808	1.60727542866438e-07	238
MAPK12	94702.4173586808	1.60727542866438e-07	238
MAPK13	94702.4173586808	1.60727542866438e-07	238
MAPK14	94702.4173586808	1.60727542866438e-07	238
MAPK3	241842.648840716	1.60735138228201e-07	569
MYC	5337.47024611313	1.60449901523873e-07	19
NODAL	855.55298733093	1.61106271657717e-07	12
NRAS	112875.721894987	1.60728085368472e-07	514
PIK3CA	142449.837178725	1.60734776528029e-07	502
PIK3CB	142449.837178725	1.60734776528029e-07	502
PIK3CD	142449.837178725	1.60734776528029e-07	502
PIK3R1	141170.295711891	1.60734776528029e-07	496
PIK3R2	141170.295711891	1.60734776528029e-07	496
PIK3R3	141170.295711891	1.60734776528029e-07	496
RAF1	33120.5200545249	1.6070755034606e-07	434
SMAD1	86.7721491895258	1.60547325096934e-07	17
SMAD2	19171.6509132871	1.60651809373133e-07	57
SMAD3	29761.5661763632	1.60651783564134e-07	61
SMAD5	57.8329155459741	1.60547350872382e-07	12
SMAD9	57.8329155459741	1.60547350872382e-07	12
STAT3	94977.7907735456	1.60641873521191e-07	83
TBX3	0	7.26723588502942e-08	2
TCF3	0	7.26723588502942e-08	1
TCF7	0	7.26723588502942e-08	31
WNT1	31538.9623807583	1.60657255257549e-07	167
WNT10A	749.144364085626	1.60752915213929e-07	166
WNT10B	749.144364085626	1.60752915213929e-07	166
WNT11	749.144364085626	1.60752915213929e-07	166
WNT16	749.144364085626	1.60752915213929e-07	166
WNT2	749.144364085626	1.60752915213929e-07	166
WNT2B	749.144364085626	1.60752915213929e-07	166
WNT3	1530.63954000583	1.60752915213929e-07	167
WNT3A	1530.63954000583	1.60752915213929e-07	167
WNT4	769.45911535863	1.60752915213929e-07	167
WNT5A	776.959115358629	1.60848818517173e-07	168
WNT5B	776.959115358629	1.60848818517173e-07	168
WNT6	749.144364085626	1.60752915213929e-07	166
WNT7A	749.144364085626	1.60752915213929e-07	166
WNT7B	749.144364085626	1.60752915213929e-07	166
WNT8A	749.144364085626	1.60752915213929e-07	166
WNT8B	749.144364085626	1.60752915213929e-07	166
WNT9A	749.144364085626	1.60752915213929e-07	166
WNT9B	749.144364085626	1.60752915213929e-07	166
