C1QA	2560.92612774566	1.60557455485445e-07	16
C1QB	2560.92612774566	1.60557455485445e-07	16
C1QC	2560.92612774566	1.60557455485445e-07	16
C1R	1883.59279441245	1.60557455485445e-07	15
C1S	1883.59279441245	1.60557455485445e-07	15
C2	5359.73884046239	1.60609003644379e-07	22
C3	54180.6703918613	1.60661152775903e-07	22
C3AR1	0	7.26723588502942e-08	2
C4A	9511.8870176355	1.60609003644379e-07	31
C4B	9511.8870176355	1.60609003644379e-07	31
C5	2543	7.26919523684528e-08	6
C5AR1	0	7.26723588502942e-08	2
CFB	0	1.60704399523994e-07	2
CFH	0	1.60800244930933e-07	2
CFI	0	1.60704399523994e-07	1
FCAR	0	7.26723588502942e-08	1
FCGR1A	971.474103884254	1.60708996666413e-07	13
FCGR2A	3864.74427103302	1.6071436894137e-07	19
FCGR2B	5588.81920533417	1.60628197605451e-07	5
FCGR2C	630.635054876496	1.60709125803425e-07	9
FCGR3A	1065.21384381821	1.60708996666413e-07	14
FCGR3B	1065.21384381821	1.60708996666413e-07	14
IL10	8784.21797821563	1.6077710649763e-07	60
LOC102723407	39920.2798610557	1.60692029868149e-07	48
MASP1	82.5175659029318	1.60652841739922e-07	6
MASP2	82.5175659029318	1.60652841739922e-07	6
PLG	75864.1663439143	1.60672769018434e-07	11
PTAFR	0	1.60854795250344e-07	5
